"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","cnts_prod_id","copn_use_sta_dt","copn_plcy_sta_dt","copn_plcy_end_dt","copn_cnt"
C2600WC,"지상파 월정액 3개월 5,500원_7월 3차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260709","20260629","20260731",2
C2600T8,<살목지(2차)> 할인쿠폰 프로모션,A1SA1020261000121161,"[살목지 런칭] 영화 4,444원 할인",PPV 등,"20260710","20260605","20260731",7
C2600UD,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_2",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260719","20260624","20260731",2
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인",PPV 등,"20260616","20260518","20260630",4
C2600MB,<힌드의 목소리> 할인쿠폰 프로모션,A1SA1020261000120864,"[힌드의 목소리 런칭] 영화 5,500원 할인",PPV 등,"20260607","20260519","20260630",1
C2600P7,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_3,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260604","20260520","20260630",1
C2600WX,[팝업] 밸류애드팀 Btv 업_장기(26.7.29)_4-1차,,,PPV 등,,,,288749
C2600OY,통합 월정액 첫달 무료_6월 2차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,,"20260526","20260630",399723
C2600P6,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_2,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,,"20260520","20260630",792376
C2600QM,[보정용][주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,,"20260520","20260630",393503
C2600UK,JTBC 월정액 3개월 70% 할인_7월 1차(배너),DummyOffer,,PPV 등,,,,499183
C2600W0,[팝업] 밸류애드팀 Btv 업_장기(26.7.22)_3-4차,,,PPV 등,,,,330805
C2600WK,JTBC 월정액 3개월 70% 할인_7월 3차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260730","20260629","20260731",14
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120868,[FREE PASS] JTBC 1개월 무료_26년6월,PM30000269,"20260628","20260519","20260629",16
C2600XG,"26년 7월 B tv+ 할인 연장 캠페인_6개월/9개월 할인재연",A1CP1020261000121664,"[가입 유지 선물] B tv+ 월 5,500원 이용 혜택 6개월 자동 연장_7월",PPV 등,"20260916","20260721","20260831",23
C2600LX,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_1(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),PM30000107,"20260519","20260515","20260525",51
