"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600OC,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_4",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,797454,373,"20260628",0,0,0,0,0,0,,736653,736649,693864,76018,688737
C2600OD,[주기성] 26년 6월_B tv+ 6월 비플리_가입자 제외,DummyOffer,-,,,1,38949,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600OE,[주기성] 26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상_TV팝업,,-,,,0,1308537,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600OH,[주기성] 26년 6월_B tv+ 6월 유료전환_가입자 제외,DummyOffer,-,,,1,2129,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600OJ,"2606_플레이보이 디맨드_첫달무료",,-,,,0,205092,0,,1,205092,93708,49359,2448,46911,"20260729",0,0,0,0,0
C2600OL,"지상파 월정액 첫달 3,300원_6월 2차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,지상파 3사 월정액,1,499891,686,"20260630",0,0,0,0,0,0,,415626,415620,364750,38165,358736
C2600OM,"26년 6월_B tv+ 국내여행_(6/3)_0123",DummyOffer,-,,,1,1083136,0,,1,1083136,548530,304466,8936,295530,"20260725",0,0,0,0,0
C2600ON,"26년 6월_B tv+ 국내여행_(6/3)_4567",DummyOffer,-,,,1,1082175,0,,1,1082175,542278,299729,8589,291142,"20260716",0,0,0,0,0
C2600OO,"26년 6월_B tv+ 국내여행_(6/3)_89",DummyOffer,-,,,1,540934,0,,1,540934,274702,150829,4087,146743,"20260714",0,0,0,0,0
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,-,,,1,1082453,0,,1,1082453,725054,381831,10401,371431,"20260727",0,0,0,0,0
C2600OU,"2606_SPOTV_BWF 인도네시아 오픈",DummyOffer,-,,,1,947792,0,,1,947792,536429,209840,11068,198774,"20260731",0,0,0,0,0
C2600OV,전원혜택 액션무비 프로모션 안내,,-,,,0,3759240,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600OW,"26년 6월_B tv+ 국내여행_(6/4~7)_4567",DummyOffer,-,,,1,1081543,0,,1,1081543,723091,379965,10531,369435,"20260725",0,0,0,0,0
C2600OX,"26년 6월_B tv+ 국내여행_(6/4~7)_89",DummyOffer,-,,,1,540593,0,,1,540593,362962,190983,5349,185635,"20260706",0,0,0,0,0
